filename,class_name,wave_min,wave_max,wave_mean,wave_var,amp_min,amp_max,amp_mean,amp_var,spectral_centroid_min,spectral_centroid_max,spectral_centroid_mean,spectral_centroid_var,spectral_rolloff_min,spectral_rolloff_max,spectral_rolloff_mean,spectral_rolloff_var,spectral_bandwidth_min,spectral_bandwidth_max,spectral_bandwidth_mean,spectral_bandwidth_var,mel_frequency_min,mel_frequency_max,mel_frequency_mean,mel_frequency_var,chroma_min,chroma_max,chroma_mean,chroma_var,zero_crossing_rate
Fringilla-coelebs-182653.wav,fringilla-coelebs,-1.358285e-07,0.25726318,-0.2503662,0.017540047,6.933739388876683e-06,0.0003514970976858778,1.3112584543154217e-11,1.6340605519962773e-05,7413.151106682044,11818.323200108654,3146.3446609257376,1768.6291193553704,10710.712329956006,14491.845703125,21.533203125,3379.4396888050373,6084.604530722977,8152.206405355665,1982.4045377936616,1547.8114351922538,-23.644934,122.043335,-760.26294,109.221596,0.4647958,1.0,0.00014219884,0.31380293,50
Turdus-merula-183508.wav,turdus-merula,-6.2264206e-08,0.696167,-0.7201538,0.062052593,4.939665031883069e-05,0.0033389556861917074,8.729749995936213e-12,0.00013245282242541146,4922.3019930552755,6323.259837267793,2355.2869883515846,628.5251528609283,7050.694195872759,11068.06640625,2583.984375,1547.5800410752088,4217.903015804164,6534.635724715324,1515.9115776882431,1232.4870518237817,-18.724941,95.62079,-607.31287,79.67352,0.29460484,1.0,0.00019883654,0.30711383,22
Turdus-merula-129088.wav,turdus-merula,-5.9894165e-09,0.13308716,-0.12194824,0.01012309,4.375739207286748e-06,0.00012067712176489732,2.421306345551947e-10,7.865687709963595e-06,7703.052807518486,10948.407306595145,0.0,2293.198757744394,10463.960367550339,15492.1875,23.4375,3984.4034907092037,6734.634049610996,9357.739962162015,11.048543641125972,1873.2371472292864,-28.714144,158.87189,-721.9704,119.04282,0.40825292,1.0,0.0,0.32945508,36
Carduelis-carduelis-573722.wav,carduelis-carduelis,8.533597e-07,0.12319946,-0.13671875,0.016976874,4.127391659232222e-06,0.0036951723160496617,3.3556208175130952e-12,1.5269268758449583e-05,2642.9976479775937,5901.107375893367,855.3522358965276,736.8003319299335,4679.3160134985,7664.0625,703.125,1017.8387395358069,4405.667182330453,8051.209906971618,1734.028610171011,1169.7710248278038,-9.01366,182.33044,-537.9621,102.87023,0.5787289,1.0,0.0009095197,0.31326288,7
Sylvia-curruca-440151.wav,sylvia-curruca,3.7866408e-05,0.54618835,-0.54849243,0.012663245,6.831201338484742e-06,0.0008688765974552508,5.5807591651760567e-11,1.4700216761937016e-05,2962.3659375919406,7309.643482964729,633.5910255676795,845.2563384804419,4838.157705012584,11742.1875,281.25,1399.4673973441716,5352.821373845018,7677.17557668223,2163.853060131308,1227.4866650420777,-11.567621,176.41553,-527.84894,108.79926,0.59352726,1.0,0.00040921112,0.2639161,4
Sylvia-atricapilla-593868.wav,sylvia-atricapilla,-8.96929e-06,0.1613617,-0.22424316,0.007279481,4.564667759359316e-06,0.00039120911180049345,3.343648598434015e-11,1.118106920429108e-05,3111.219222842874,7657.141389324981,903.8185763023314,700.2819851275123,3972.5695667488553,13429.6875,632.8125,1229.9146356154338,4835.734528262047,7281.058040707606,1563.320939237313,1280.480088547297,-13.866525,259.4574,-580.88745,117.21414,0.52018684,1.0,0.00048564834,0.31547582,2
Phoenicurus-phoenicurus-552253.wav,phoenicurus-phoenicurus,-1.0720905e-08,0.024856567,-0.022003174,0.0014698014,8.739145203034065e-07,2.5290994590956933e-05,6.636426597581676e-12,1.6106975298065523e-06,5755.566690677884,13579.873037292378,3458.308747193503,870.842594398386,5438.544568245125,11414.0625,23.4375,930.1919487934783,4895.147303868965,6598.166305656268,1317.4673692903334,1028.7263273208262,-29.449709,133.56024,-937.02997,131.84293,0.5270871,1.0,0.00015621378,0.29388654,36
Sylvia-atricapilla-530508.wav,sylvia-atricapilla,5.3562545e-08,0.006958008,-0.006576538,0.00152492,7.463252066913891e-06,8.470290968557177e-05,2.8829866604786867e-09,6.440122652539473e-06,4243.633160749984,4591.513625295356,3804.7106927259315,174.62956543908376,7230.722943474265,7698.1201171875,6395.361328125,194.7612966530487,3741.948989575943,4268.229334250839,3035.8402296194313,362.98985162604345,-30.287008,46.467964,-449.10614,93.38061,0.5993646,1.0,0.06742167,0.228872,30
Fringilla-coelebs-531860.wav,fringilla-coelebs,-2.5334723e-06,0.21243286,-0.20870972,0.012840258,3.813176294106047e-06,0.00029393606905771073,9.230474608473545e-12,1.0303259429275875e-05,2275.5223684495836,5893.4425056499595,1111.8379229045327,663.2041292160176,3833.581744284108,12703.125,1031.25,1343.81679344525,4608.759630265466,7305.244950225185,2278.9953307472297,1211.0476900997762,-7.916445,204.37082,-478.58694,96.22703,0.67238164,1.0,0.0022396673,0.23555495,3
Phylloscopus-trochilus-547173.wav,phylloscopus-trochilus,4.475787e-05,0.31983948,-0.31471252,0.017339274,9.789430582868857e-06,0.0003243096003257241,7.075384499171804e-11,2.1203445232606974e-05,5550.635906470865,7679.126397652246,1542.7024532366077,669.0701728811898,7837.605977551079,12123.193359375,2648.583984375,1879.4573827673366,5281.897266257663,7820.073039912608,1469.7954620928529,1407.5253727849554,-14.184593,145.9606,-519.694,105.53574,0.3868659,1.0,2.9938321e-05,0.32763475,26
